id,key,value,type
6339121,name_base,Olive,tiger
6339121,name_type,Ave,tiger
6339766,name,Cromwell Place,regular
6339766,highway,residential,regular
6339766,cfcc,A41,tiger
6339766,county,"Alameda, CA",tiger
6339766,reviewed,no,tiger
6339766,name_base,Cromwell,tiger
6339766,name_type,Pl,tiger
6340423,name,Belize Way,regular
6340423,highway,residential,regular
6340423,cfcc,A41,tiger
6340423,county,"Alameda, CA",tiger
6340423,reviewed,no,tiger
6340423,name_base,Belize,tiger
6340423,name_type,Way,tiger
6340964,name,Arizona Street,regular
6340964,highway,residential,regular
6340964,maxspeed,25 mph,regular
6340964,cfcc,A41,tiger
6340964,tlid,125025892:125025805:125025807:125025826:125025827:125025831,tiger
6340964,county,"Alameda, CA",tiger
6340964,source,tiger_import_dch_v0.6_20070809,tiger
6340964,reviewed,no,tiger
6340964,name_base,Arizona,tiger
6340964,name_type,St,tiger
6340964,separated,no,tiger
6341600,name,East 36th Street,regular
6341600,oneway,yes,regular
6341600,highway,residential,regular
6341600,cfcc,A41,tiger
6341600,county,"Alameda, CA",tiger
6341600,reviewed,no,tiger
6341600,name_base,36th,tiger
6341600,name_type,St,tiger
6341600,name_direction_prefix,E,tiger
6342110,name,Brooktree Court,regular
6342110,highway,residential,regular
6342110,cfcc,A41,tiger
6342110,county,"Alameda, CA",tiger
6342110,name_base,Brooktree,tiger
6342110,name_type,Ct,tiger
6342724,name,Arthur Street,regular
6342724,highway,residential,regular
6342724,sidewalk,both,regular
6342724,cfcc,A41,tiger
6342724,county,"Alameda, CA",tiger
6342724,reviewed,no,tiger
6342724,name_base,Arthur,tiger
6342724,name_type,St,tiger
6343826,name,171st Avenue,regular
6343826,highway,residential,regular
6343826,cfcc,A41,tiger
6343826,county,"Alameda, CA",tiger
6343826,reviewed,no,tiger
6343826,name_base,171st,tiger
6343826,name_type,Ave,tiger
6344534,name,Trefry Court,regular
6344534,highway,residential,regular
6344534,maxspeed,25 mph,regular
6344534,cfcc,A41,tiger
6344534,county,"Alameda, CA",tiger
6344534,reviewed,no,tiger
6344534,name_base,Trefry,tiger
6344534,name_type,Ct,tiger
6344991,name,San Leandro Street,regular
6344991,highway,residential,regular
6344991,cfcc,A41,tiger
6344991,county,"Alameda, CA",tiger
6344991,reviewed,no,tiger
6344991,name_base,San Leandro,tiger
6344991,name_type,St,tiger
6345351,name,West Avenue 136th,regular
6345351,highway,residential,regular
6345351,cfcc,A41,tiger
6345351,county,"Alameda, CA",tiger
